timestamp;elevator_ID
9/16/2024 10:05:15;4
9/16/2024 10:05:32;3
9/16/2024 10:15:23;5
9/16/2024 10:16:23;4
9/16/2024 10:16:47;5
9/16/2024 10:17:19;1
9/16/2024 10:18:00;4
9/16/2024 10:18:22;2
9/16/2024 10:18:37;2
9/16/2024 10:48:06;6
9/16/2024 11:01:26;1
9/16/2024 11:05:45;6
9/16/2024 13:20:08;1
9/16/2024 13:20:26;6
9/16/2024 13:20:33;4
9/16/2024 13:21:12;5
9/16/2024 13:21:27;2
9/16/2024 13:21:39;2
9/16/2024 13:21:54;1
9/16/2024 13:21:59;6
9/16/2024 13:22:04;4
9/16/2024 13:22:17;3
9/16/2024 13:22:44;5
9/16/2024 13:22:50;2
9/16/2024 13:22:55;1
9/16/2024 13:23:04;2
9/16/2024 13:23:44;1
9/16/2024 13:24:03;6
9/16/2024 13:24:28;4
9/16/2024 13:24:35;6
9/16/2024 13:25:42;6
9/16/2024 13:25:57;3
9/16/2024 13:26:19;1
9/16/2024 13:27:14;6
9/16/2024 13:27:32;5
9/16/2024 13:28:20;3
9/16/2024 13:28:36;2
9/16/2024 13:29:00;6
9/16/2024 13:29:14;1
9/16/2024 13:29:19;3
9/16/2024 13:30:31;3
9/16/2024 13:30:32;3
9/16/2024 13:30:49;2
9/16/2024 13:31:03;5
9/16/2024 13:31:25;1
9/16/2024 13:31:33;6
9/16/2024 13:31:46;6
9/16/2024 13:32:08;1
9/16/2024 13:32:33;4
9/16/2024 13:33:02;3
9/16/2024 13:33:21;2
9/16/2024 13:33:43;6
9/16/2024 13:34:06;6
9/16/2024 13:34:51;5
9/16/2024 13:35:02;4
9/16/2024 13:35:19;2
9/16/2024 13:35:42;1
9/16/2024 13:35:52;5
9/16/2024 13:36:01;6
9/16/2024 13:36:18;6
9/16/2024 13:36:51;2
9/16/2024 13:37:15;3
9/16/2024 13:37:21;5
9/16/2024 13:37:35;4
9/16/2024 13:37:58;3
9/16/2024 13:38:57;2
9/16/2024 13:39:20;1
9/16/2024 13:39:34;2
9/16/2024 13:39:51;1
9/16/2024 13:39:57;3
9/16/2024 13:40:04;6
9/16/2024 13:40:19;4
9/16/2024 13:40:32;3
9/16/2024 13:40:46;4
9/16/2024 13:41:04;5
9/16/2024 13:41:50;1
9/16/2024 13:42:00;6
